Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,ratingsCount,Price
The Wandering Hill: Volume 2 of The Berrybender Narratives,"Continuing up the Missouri River with her wealthy English clan, Tasmin Berrybender, on the verge of motherhood and living with elusive Native American Jim Snow, witnesses her father's deterioration in the wake of her family's rise in power.",Larry McMurtry,http://books.google.com/books/content?id=aR0e11NVk5YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=aR0e11NVk5YC&printsec=frontcover&dq=The+Wandering+Hill:+Volume+2+of+The+Berrybender+Narratives&hl=&cd=1&source=gbs_api,Simon and Schuster,2003-05-13,http://books.google.com/books?id=aR0e11NVk5YC&dq=The+Wandering+Hill:+Volume+2+of+The+Berrybender+Narratives&hl=&source=gbs_api,5.0,29.704370023320795
Creative Bible Lessons in Nehemiah: 12 Sessions on Discovering What Leadership Means for Students Today,"We may think of them as the leaders of tomorrow, but the kids you minister to are already leaders—they’re the leaders of today. In hallways, on playing fields, and in their own homes, students are influencing the lives that surround them.Nehemiah is one of the Bible’s most powerful examples of what a godly leader looks like. This newest collection of Creative Bible Lessons helps your students connect with this ancient figure in a way that is both engaging and relevant.Each session focuses on one chapter of the Old Testament book by using activities that emphasize four different learning styles—thereby ensuring that your students hear what they need to hear in ways they need to hear it. The session titles include:A Leader Passionately PraysA Leader Teaches TruthA Leader Walks the WalkA Leader Instills IntegrityA Leader Hungers for HolinessEach session also offers an overview, a list of things you’ll need, background information on the Nehemiah chapter, openers, plenty of questions, and application options such as games, discussion starters, and small group activities that help the meaning of Nehemiah stick in your students’ heads.Creative Bible Lessons in Nehemiah will get your students thinking about the kinds of leaders God is calling them to be and provide them with the tools to be that leader...today.",Andrew A. Hedges,http://books.google.com/books/content?id=4L0lHgrfzhIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=4L0lHgrfzhIC&printsec=frontcover&dq=Creative+Bible+Lessons+in+Nehemiah:+12+Sessions+on+Discovering+What+Leadership+Means+for+Students+Today&hl=&cd=1&source=gbs_api,Zondervan,2009-08-08,https://play.google.com/store/books/details?id=4L0lHgrfzhIC&source=gbs_api,2.0,14.99
Hidden Power for Human Problems (Hardcover - 1959),"*BEST MYSTERY/THRILLER FOR THE YEAR* for NPR ""Come for the mounting horror and scares, but stay for a devastating examination of the nature of family secrets."" - New York Times book review ""[A] scary, highly entertaining debut...that pays homage to Shirley Jackson."" - South Florida Sun Sentinel A Most Anticipated Book Goodreads * Publishers Weekly * Crime Reads * Popsugar * Bookish * #1 Loanstar Pick in Canada An Indie Next pick! A Library Reads Pick! The Blair Witch Project meets Midsommar in this brilliantly disturbing thriller from Camilla Sten, an electrifying new voice in suspense. Documentary filmmaker Alice Lindstedt has been obsessed with the vanishing residents of the old mining town, dubbed “The Lost Village,” since she was a little girl. In 1959, her grandmother’s entire family disappeared in this mysterious tragedy, and ever since, the unanswered questions surrounding the only two people who were left—a woman stoned to death in the town center and an abandoned newborn—have plagued her. She’s gathered a small crew of friends in the remote village to make a film about what really happened. But there will be no turning back. Not long after they’ve set up camp, mysterious things begin to happen. Equipment is destroyed. People go missing. As doubt breeds fear and their very minds begin to crack, one thing becomes startlingly clear to Alice: They are not alone. They’re looking for the truth... But what if it finds them first? Come find out. ""RELENTLESSLY CREEPY."" —Alma Katsu, author of The Hunger (An NPR Best Horror Novel) ""IMPOSSIBLE TO STOP READING."" —Ragnar Jonasson, author of The Island ""Readers will revel in the chills."" - Booklist",Camilla Sten,http://books.google.com/books/content?id=X9LtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=X9LtDwAAQBAJ&pg=PP1&dq=Hidden+Power+for+Human+Problems+(Hardcover+-+1959)&hl=&cd=1&source=gbs_api,Minotaur Books,2021-03-23,https://play.google.com/store/books/details?id=X9LtDwAAQBAJ&source=gbs_api,5.0,29.704370023320795
Broken Tower the Life of Hart Crane,"The award-winning author of Lost Puritan and A New World Naked presents a close-up look at the turbulent and tragically short life of American poet Hart Crane, from his youth, to his turbulent life amid the New York gay scene, to his suicide at the age of thirty-two. Reprint.",Paul L. Mariani,http://books.google.com/books/content?id=OGISe1Q52REC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=OGISe1Q52REC&printsec=frontcover&dq=Broken+Tower+the+Life+of+Hart+Crane&hl=&cd=1&source=gbs_api,W. W. Norton & Company,2000,http://books.google.com/books?id=OGISe1Q52REC&dq=Broken+Tower+the+Life+of+Hart+Crane&hl=&source=gbs_api,1.0,29.704370023320795
No Dogs Allowed!,"When Iris, her family, and the neighbors take a trip to Enchanted Lake, everyone brings what they think is needed, but the family dog turns out to present a problem.",Sonia Manzano,http://books.google.com/books/content?id=P-a4V-hDj5cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=P-a4V-hDj5cC&printsec=frontcover&dq=No+Dogs+Allowed!&hl=&cd=1&source=gbs_api,Simon and Schuster,2007-05-08,http://books.google.nl/books?id=P-a4V-hDj5cC&dq=No+Dogs+Allowed!&hl=&source=gbs_api,4.0,5.99
Statistical Mechanics,"This is the definitive treatise on the fundamentals of statistical mechanics. A concise exposition of classical statistical mechanics is followed by a thorough elucidation of quantum statistical mechanics: postulates, theorems, statistical ensembles, changes in quantum mechanical systems with time, and more. The final two chapters discuss applications of statistical mechanics to thermodynamic behavior. 1930 edition.",Richard Chace Tolman,http://books.google.com/books/content?id=4TqQZo962s0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=4TqQZo962s0C&printsec=frontcover&dq=Statistical+Mechanics&hl=&cd=1&source=gbs_api,Courier Corporation,1979-01-01,http://books.google.nl/books?id=4TqQZo962s0C&dq=Statistical+Mechanics&hl=&source=gbs_api,2.0,29.704370023320795
Some sort of epic grandeur: The life of F. Scott Fitzgerald,"The standard work on Fitzgerald, revised, enlarged, and updated; Since its first publication in 1981, Some Sort of Epic Grandeur has stood apart from other biographies of F. Scott Fitzgerald for its thoroughness and volume of information. It is regarded today as the basic work on Fitzgerald and the preeminent source for the study of the novelist. In this second revised edition, Matthew J. Bruccoli provides new evidence discovered since its original edition. This new edition of Some Sort of Epic Grandeur improves, augments, and updates the standard biography of F. Scott Fitzgerald.","Matthew Joseph Bruccoli, Scottie Fitzgerald Smith",http://books.google.com/books/content?id=h-jjwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=h-jjwAEACAAJ&dq=Some+sort+of+epic+grandeur:+The+life+of+F.+Scott+Fitzgerald&hl=&cd=1&source=gbs_api,Univ of South Carolina Press,2002,http://books.google.nl/books?id=h-jjwAEACAAJ&dq=Some+sort+of+epic+grandeur:+The+life+of+F.+Scott+Fitzgerald&hl=&source=gbs_api,2.0,29.704370023320795
The Circle of Seasons,"More than Christmas, Easter and points in between, the Christian year is a way of interpreting our lives through the eyes of faith. Travel through the year with Kimberlee Conway Ireton. With suggestions of practices, prayers and disciplines for each season, this book is an honest, brave introduction to a Christian way of marking time.",Kimberlee Conway Ireton,http://books.google.com/books/content?id=r8t4dQ8z2yUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=r8t4dQ8z2yUC&printsec=frontcover&dq=The+Circle+of+Seasons&hl=&cd=1&source=gbs_api,InterVarsity Press,2008-09-30,http://books.google.com/books?id=r8t4dQ8z2yUC&dq=The+Circle+of+Seasons&hl=&source=gbs_api,5.0,29.704370023320795
Quicktime for the Web: For Windows and Macintosh (Quicktime Developer Series),"QuickTime is the industry standard for developing and distributing multimedia content on the Web and CD-ROM, for both Windows and Macintosh computers. This book includes QuickTime Pro 6 and a full set of content development tools for both Windows and Macintosh developers. This third edition of the best-selling and award-winning QuickTime for the Web is a hands-on guide showing how to integrate animation, video, recorded sound, MIDI, text, still images, VR, live streams, games, and user interactivity into a Web site. It now also covers how to benefit from QuickTime support for the MPEG-4 global multimedia standard. Written for Web masters, site designers, HTML and multimedia authors, and anyone else who wants to incorporate sound or video into their Web site, this book offers clear and detailed instruction in an engaging style. Written by an expert at Apple Computer, this is the most complete and authoritative source for creating QuickTime content for the Web. The first edition of this book won the Touchstone 2000 Merit Award for Books awarded annually by STC (Society for Technical Communications). Written for both Windows and Macintosh developers. Illustrates all the latest features in QuickTime Pro 6, including MPEG-4 support.",Steven Gulie,http://books.google.com/books/content?id=uDKcnZhIk4UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=uDKcnZhIk4UC&printsec=frontcover&dq=Quicktime+for+the+Web:+For+Windows+and+Macintosh+(Quicktime+Developer+Series)&hl=&cd=1&source=gbs_api,Elsevier,2003-10-02,https://play.google.com/store/books/details?id=uDKcnZhIk4UC&source=gbs_api,4.0,11.99
Things I Learned in Second Grade,"A young boy shares all of the things he learned and how he changed in second grade, what he still wonders about, and what he hopes to accomplish when he is in third grade.",Amy Schwartz,http://books.google.com/books/content?id=PO9TU0iCr4cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PO9TU0iCr4cC&pg=PP1&dq=Things+I+Learned+in+Second+Grade&hl=&cd=1&source=gbs_api,Harper Collins,2004-06-29,http://books.google.com/books?id=PO9TU0iCr4cC&dq=Things+I+Learned+in+Second+Grade&hl=&source=gbs_api,2.0,29.704370023320795
Dr. Spock's Baby and Child Care: 8th Edition,"OVER 50 MILLION COPIES IN PRINT! THE CLASSIC THAT CONTINUES TO GROW WITH THE TIMES! For sixty-five years, parents have relied on the expert advice of renowned pediatrician Dr. Benjamin Spock. But while children never change, issues and concerns do. Dr. Robert Needlman, himself a top-notch pediatrician, has newly updated and expanded this timeless classic to speak to any parent who is raising children in our rapidly changing world. While still providing reassuring advice on age-old topics such as caring for a new baby, as well as accidents, illness, and injuries, this book also contains expanded information in many new areas, including: • Cutting-edge medical opinion on immunizations • Obesity and nutrition • Cultural diversity and nontraditional family structures • Children's learning and brain development • The newest thinking on children with special needs • Environmental health • Increasingly common disorders such as ADHD, depression, and autism— including medications and behavioral interventions • Children and the media, including electronic games • Coping with family stress • And much, much more With an updated glossary of common medications and an authoritative list of the most reliable online resources, this invaluable guide is still the next best thing to Dr. Spock's #1 rule of parenting: “Trust yourself. You know more than you think you do.”","Benjamin Spock, Robert Needlman",http://books.google.com/books/content?id=QJ_yyW5sh44C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=QJ_yyW5sh44C&printsec=frontcover&dq=Dr.+Spock%27s+Baby+and+Child+Care:+8th+Edition&hl=&cd=1&source=gbs_api,Simon and Schuster,2004-06,http://books.google.com/books?id=QJ_yyW5sh44C&dq=Dr.+Spock%27s+Baby+and+Child+Care:+8th+Edition&hl=&source=gbs_api,3.0,29.704370023320795
Levers Of Organization Design: How Managers Use Accountability Systems For Greater Performance And Commitment,"The design of an organization--the accountability system that defines roles, rights, and responsibilities throughout the firm--has a direct impact on the performance of every employee. Yet, few leaders devote focused attention to how this design is chosen, implemented, and adjusted over time. Robert Simons argues that by viewing design as a powerful and proactive management lever--rather than an inevitable outcome of corporate evolution--leaders can maximize productivity across every level of the organization. Levers of Organization Design presents a new design theory based on four key yet often underrated categories: customer definition, critical performance variables, creative tension, and commitment to mission. Building from these core areas, Simons lays out a step-by-step process leaders can follow to create structures and accountability systems that positively influence how people do their work, where they focus their attention, and how their activities can be aligned to contribute to overall strategic goals. He also introduces four levers of organizational design--unit configuration, diagnostic control systems, interactive networks, and responsibility to others--that leaders can manipulate to improve overall organizational efficiency and effectiveness vastly. For anyone accountable for measuring and managing performance, this book shows how good design can become an organization's roadmap to success. Robert Simons is the Charles M. Williams Professor of Business Administration in the accounting & control area at Harvard Business School.",Robert Simons,http://books.google.com/books/content?id=bsSkVB7OQJ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=bsSkVB7OQJ0C&printsec=frontcover&dq=Levers+Of+Organization+Design:+How+Managers+Use+Accountability+Systems+For+Greater+Performance+And+Commitment&hl=&cd=1&source=gbs_api,Harvard Business Press,2005-07-25,https://play.google.com/store/books/details?id=bsSkVB7OQJ0C&source=gbs_api,2.0,25.63
"Cancer As a Turning Point: A Handbook for People with Cancer, Their Families, and Health Professionals","Psychotherapist Lawrence LeShan has worked with cancer patients for more than thirty-five years and his research has led people with cancer to find new, effective ways to fight for their lives. He has put his findings--full of meaning and purpose--into this revised edition that shows how psychological change, along with medical treatment, mobilizes a compromised immune system for healing. Included is a life-transforming workbook of hands-on exercises designed to help readers evaluate their inner selves and teach them how to get the most out of their immune systems by leading fuller, richer lives.",Lawrence LeShan,http://books.google.com/books/content?id=k3gyBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=k3gyBgAAQBAJ&pg=PT4&dq=Cancer+As+a+Turning+Point:+A+Handbook+for+People+with+Cancer,+Their+Families,+and+Health+Professionals&hl=&cd=1&source=gbs_api",Penguin,1994-08-01,https://play.google.com/store/books/details?id=k3gyBgAAQBAJ&source=gbs_api,1.0,10.88
The Happiest Toddler on the Block: the New Way To Stop the Daily Battle of Wills and Raise a Secure and Well-behaved One- To Four-year-old,"The pediatrician-author of The Happiest Baby on the Block offers parents a groundbreaking new approach for dealing with toddlers, drawing a parallel between a child's development and humankind's journey to civilization and presenting specific behavioral techniques designed to enhance parent-child communication, alleviate tantrums, and increase positive relationships.","Harvey Karp, Paula Spencer",http://books.google.com/books/content?id=5dcLAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=5dcLAAAACAAJ&dq=The+Happiest+Toddler+on+the+Block:+the+New+Way+To+Stop+the+Daily+Battle+of+Wills+and+Raise+a+Secure+and+Well-behaved+One-+To+Four-year-old&hl=&cd=1&source=gbs_api,Bantam,2004,http://books.google.com/books?id=5dcLAAAACAAJ&dq=The+Happiest+Toddler+on+the+Block:+the+New+Way+To+Stop+the+Daily+Battle+of+Wills+and+Raise+a+Secure+and+Well-behaved+One-+To+Four-year-old&hl=&source=gbs_api,5.0,29.704370023320795
"Tiger, Tiger","A Washington Post Notable Nonfiction Book for 2011 A Globe and Mail Best Books of the Year 2011 Title Tiger, Tiger is a Publishers Weekly Best Nonfiction title for 2011 A Kirkus Reviews Best Nonfiction of 2011 title One summer day, Margaux Fragoso meets Peter Curran at the neighborhood swimming pool, and they begin to play. She is seven; he is fifty-one. When Peter invites her and her mother to his house, the little girl finds a child's paradise of exotic pets and an elaborate backyard garden. Her mother, beset by mental illness and overwhelmed by caring for Margaux, is grateful for the attention Peter lavishes on her, and he creates an imaginative universe for her, much as Lewis Carroll did for his real-life Alice. In time, he insidiously takes on the role of Margaux's playmate, father, and lover. Charming and manipulative, Peter burrows into every aspect of Margaux's life and transforms her from a child fizzing with imagination and affection into a brainwashed young woman on the verge of suicide. But when she is twenty-two, it is Peter—ill, and wracked with guilt—who kills himself, at the age of sixty-six. Told with lyricism, depth, and mesmerizing clarity, Tiger, Tiger vividly illustrates the healing power of memory and disclosure. This extraordinary memoir is an unprecedented glimpse into the psyche of a young girl in free fall and conveys to readers—including parents and survivors of abuse—just how completely a pedophile enchants his victim and binds her to him.",Margaux Fragoso,http://books.google.com/books/content?id=nnr7H0zxeIsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=nnr7H0zxeIsC&printsec=frontcover&dq=Tiger,+Tiger&hl=&cd=1&source=gbs_api","Farrar, Straus and Giroux",2011-03-01,https://play.google.com/store/books/details?id=nnr7H0zxeIsC&source=gbs_api,5.0,29.704370023320795
Object-Oriented Analysis and Design: Understanding System Development with UML 2.0,"Covering the breadth of a large topic, this book provides a thorough grounding in object-oriented concepts, the software development process, UML and multi-tier technologies. After covering some basic ground work underpinning OO software projects, the book follows the steps of a typical development project (Requirements Capture - Design - Specification & Test), showing how an abstract problem is taken through to a concrete solution. The book is programming language agnostic - so code is kept to a minimum to avoid detail and deviation into implementation minutiae. A single case study running through the text provides a realistic example showing development from an initial proposal through to a finished system. Key artifacts such as the requirements document and detailed designs are included. For each aspect of the case study, there is an exercise for the reader to produce similar documents for a different system.",Mike O'Docherty,http://books.google.com/books/content?id=JNUgAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=JNUgAQAAIAAJ&q=Object-Oriented+Analysis+and+Design:+Understanding+System+Development+with+UML+2.0&dq=Object-Oriented+Analysis+and+Design:+Understanding+System+Development+with+UML+2.0&hl=&cd=1&source=gbs_api,John Wiley & Sons Incorporated,2005-05-20,http://books.google.com/books?id=JNUgAQAAIAAJ&dq=Object-Oriented+Analysis+and+Design:+Understanding+System+Development+with+UML+2.0&hl=&source=gbs_api,1.0,63.52
With Steinbeck in the Sea of Cortez,"The collaboration of two friends-one a novelist, one a novelist, one a marine biologist-produced a volume in which fascinating popular science is woven into a narrative of man's dreams, his ideals, and his accomplishments through the centuries. Sea of Cortez is one of those rare books that are all things to all readers. Actually the record of a brief collecting expedition in the lonely GUlf of California, it will be science to the scientist, philosophy to the philosopher, and to the average man an adventure in living and thinking. Sea of Cortez is a book to be read and remembered on two levels. It is a journey through a remote and beautiful corner of the world, a diary filled with the daily excitements and triumphs of skillful and energetic men. It is also an invitation to see the world anew from a fresh vantage point and perhaps with a broader and more understanding spirit.","John Steinbeck, Edward F. Ricketts",http://books.google.com/books/content?id=XcPxjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=XcPxjwEACAAJ&dq=With+Steinbeck+in+the+Sea+of+Cortez&hl=&cd=1&source=gbs_api,Penguin Group USA,2009-07,http://books.google.com/books?id=XcPxjwEACAAJ&dq=With+Steinbeck+in+the+Sea+of+Cortez&hl=&source=gbs_api,1.0,29.704370023320795
"Shepherd Psalm, The","With over 2 million copies sold, Phillip Keller s beloved contemporary classic spans the decades with its uplifting insights on Psalm 23. Pairing Keller s sublime reflections with the New International Version, this edition sheds light for a new generation of readers on the nature and ways of sheep---and of the Good Shepherd who cares for them.""",W. Phillip Keller,http://books.google.com/books/content?id=QHbTGr3SAIUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=QHbTGr3SAIUC&printsec=frontcover&dq=Shepherd+Psalm,+The&hl=&cd=1&source=gbs_api",Harper Collins,2007,"http://books.google.nl/books?id=QHbTGr3SAIUC&dq=Shepherd+Psalm,+The&hl=&source=gbs_api",5.0,6.99
